etype,issuenote
1,Soldiers demonstrate outside army headquarters demanding promised pay.
3,Scattered riots due to election material not arriving at polling stations.
1,Soldiers protest over unpaid wages.
7,Soldiers fight insurgents.
7,Soldiers attack suspected holding place of insurgents supporting Brig. Ansumane Mane.
3,Students march in support of teacher's strike over unpaid wages.
1,Workers and civil rights group rally to protest Pres. Yala's treatment of the judiciary and non-democratic actions.
1,Opposition groups rally to demand Pres. Yala step down.
1,Students strike over central government's indifference toward potential third year of closed schools due to teachers strikes.
1,Supporters of former Pres. Yala demonstrate demanded his return as head of state.
1,Students and teachers demonstrate against former Pres. Yala's declaration that he was removed from office illegally and still remains the President
1,"Former Pres. Yala supporters protest the outcome of the first round of the presidential election, in which Yala did not receive enough votes to be a contender in the second round."
7,Soldiers beat up the former prime minister and a well known lawyer.
7,"The government accuses several ministers and presidential candidates of fostering a coup.  The military cracks down, killing 4, including a presidential candidate."
1,A consumer group protests against the high cost of food.
1,"Seven opposition parties march to protest rising food prices and to demand that PM Carlos Gomes Junior resign, accusing him of failing to shed light of the 2009 assassination of president Joao Bernardo Vieira."
1,"Seven opposition parties march to protest rising food prices and to demand that PM Carlos Gomes Junior resign, accusing him of failing to shed light of the 2009 assassination of president Joao Bernardo Vieira."
1,"17 opposition parties march to protest rising food prices and to demand that PM Carlos Gomes Junior resign, accusing him of failing to shed light of the 2009 assassination of president Joao Bernardo Vieira."
7,"During presidential election, soldiers nearly beat to death lawmaker from PAIGC party"
1,"Students protest against police abuse, leading to riots."
1,"Students protest against police abuse, leading to riots."
3,"Supporters of rival parties clash in the streets, one killed by soldiers"
7,Opposition leader arrested after calling for protests over prices
1,Lawyers protest over government meddling in judicial affairs
1,"The Gambia Press Union and opposition party the Gambia Moral Congress, protested the shutting down of Terenga FM, a community radio station, by the National Intelligence Agency."
7,A Gambian journalist who contributes to The Associated Press was arrested and his house was searched and released 3 days later
7,"Baboucarr Ceesay, vice president of the Gambia Press Union, was arrested"
1,Tuareg workers march in a call for peace and end to racism
1,Police disperse banned demonstration by political opposition
1,Police officer attacked and lynched by leaders of opposition party
1,Malian teachers protest for higher wages
3,"Dogon youths attack homes of rival chiefs, killing 7"
1,"Disabled Malians strike, demanding better protection from government"
1,Malian Muslims protest publication of Mohammed cartoon
1,Malian journalists protest arrests of five journalists
7,Troops attack Al-Qaeda cell suspected of killing British citizen
1,Muslims hold protest against newly introduced laws that strengthen the rights of women
7,Mauritanian troops pursue Al-Qaeda in the Islamic Maghreb into Mali.
7,Mauritanian troops pursue Al-Qaeda in the Islamic Maghreb into Mali.
1,"About 1000 protesters from political parties and organizations, forming the FUDR staged a protest outside the stock exchange, demonstrating against the junta.  They called for a return of constitutional order."
1,"Thousands of protesters organized by Mali's only opposition party in Parliament demonstrated in support of the Junta.  Their banners denounced President Toure, France, and the international community.  Protesters also turned away a plane carrying 5 West African heads of state by swarming the airport runway."
1,"25,000 Christian and Muslim demonstrators gathered at the stadium in Bamako to stage a peace rally."
1,Political parties supporting the coup bussed in several hundred people to stage a pro-junta rally in a statdium in Bamako.
1,Between 250 and 500 Pro-coup demonstrators protested in Bamako against the ECOWAS meeting called to discuss solutions to the crisis in Mali.
1,"Over 500 journalists marched in Bamako and went on a one day strike, protesting attacks on journalists by armed men believed to be linked to the junta that took power March 22."
7,Security forces executed 16 moderate Muslim preachers that were on their way to a conference in Bamako.  7 were Malian and 9 were from Mauritania.  Security forces claimed the mistook the preachers for extremists.
3,"Islamists destroyed the mausoleum of Cheik El-Kebir, located 33 kilometers north of Gao."
3,"11 Islamists destoyed the tomb of Alfa Mobo, a Muslim saint, in Goundam."
3,"Members of Ansar Dine continued to attack and destroy historic Islamic tombs, this time destroying three in the neighborhood of Kabara."
1,"Several thousand protesters, organized by Muslim leaders, gather to demonstrate against Islamic extemism."
1,Around 1000 protesters organized by political parties marched in Bamako demanding international intervention in Northern Mali.
7,Malian Government Fires warning shots at Islamists as they advance towards Kona
7,Malian government forces clash with islamists
7,"Malian forces, with French assistance, attempted to retake Kona"
7,French Air Force bombed northern Mali to push out Islamist Militants
7,French air force bombed Malian town to displace Islamists
7,French Air force strike southern town that was taken by Islamist militants
7,French and Malian ground troops are taking steps to retake towns held by Islamists
7,French and Malian ground troops are taking steps to retake towns held by Islamists
7,French and Malian ground troops displace Islamist Militants
7,French and Malian forces push out Islamist Militants in Diably
7,French Air force bombed militant positions in Gao
7,French air force bombs northern Mali towns
7,French air force bombs northern Mali towns
7,French and Malian troops push out Islamist Militants
7,French and Malian troops route Islamist Militants in Timbuktu
7,French Air Force bomb Islamist militant positions in Kidal
7,French air force bombs militant strong holds
7,French air force bombs militant strong holds
7,French air force bombs Islamist Supply routes
7,Malian troops engage Islamist militants following a suicide bombing
7,Chad and French soldiers engaged Islamic Militants
7,French forces engaged Islamic militants
7,Police arrest potential protesters of a deal withTuareg rebels
7,Government forces kill three Tuareg rebels
7,French forces engaged Islamic militants
7,French forces carry out operations against terrorist groups.
7,French forces carry out operations against terrorist groups.
7,AQIM fighters are killed during a counter-terrorism operation by French forces.
7,French forces kill a jihadi spokesman in a shootout with militants.
7,A French soldier is killed during a counterterrorism operation.
7,A militant is killed during clashes with separatists.
7,"French and Malian forces conduct a counterterrorism operation, killing a top commander."
1,Workers protest announced decision to lay off 50% of staff
1,Senegalese women march in protest of marital violence
1,Citizens protest threat to remove immunity of ex-prime minister
1,"Peacekeeping soldiers protest and block roads, demanding wages"
7,Senegalese soldiers capture and kill MFDC rebels in raid
1,Citizens protest government handling of probe into ferry accident
1,"Transport unions march, despite cancellation of permit, leading to clashes with police"
1,Citizens protest recent crackdown on state media
7,Military bombs ex-rebel bases
1,"statue, calling it sexist, immodest, and too expensive.  The police briefly detain protest organizers."
1,Several women's organizations organize about 50 protesters against an Israeli raid on an aid flotilla headed for the Gaza strip.
1,"Opposition protesters take to the streets to protest power cuts, floods, rising food costs, as well as scandals, incompetence, and corruption in the government."
1,Police halt a demonstration against the squandering of public funds.
1,An organization of ex-soldiers marches in favor of peace.
1,"Anti-government protesters march against the president.  The government makes arrests, claiming to have thwarted a coup."
